// Format: letter #|letter from passage|predicted letters|scan time
123|h|EIAOR|10
124|a|EOIAR|5
125|t|NLMRT|6
126| |CSATL|3
127|i|TBOAI|6
128|s|NSCTL|3
129| |TEHSC|3
130|b|TBOAI|3
131|e|EAOLI|2
132|c|RLNAS|8
133|a|KHOAU|5
134|u|SUMRN|3
135|s|SETCX|2
136|e|EATLI|2
137| |WDSYR|3
138|I|TBOAI|6
139| |NSCTL|3
140|l|TBOAI|13
141|o|EIALO|6
142|s|GNRWC|6
143|t|SEIOT|6
144| |ERAOW|3
145|m|TBOAI|12
146|y|AEIOP|9
147| |SCOTL|3
148|a|TBOAI|5
149|b|NRLTS|10
150|i|LIEAO|3
151|l|LNTAE|2
152|i|IETLA|2
153|t|TSZDA|2
154|y|YIAER|2
155| |NTGBM|3
156|t|TBOAI|2
157|o|EIAOR|5
158| |RNPMS|3
159|s|TBOAI|6
160|p|TEISH|13
161|e|EOAIR|2
162|a|CRELN|5
163|k|KRCSD|2
164| |EIOAS|3
165|o|TBOAI|4
166|n|NRLMS|2
167|l|SEIAT|13
168|y|IYEOA|3
169| |MSEPB|3
170|w|TBOAI|5
171|i|AEIWO|4
172|t|NLTSC|4
173|h|HCZTN|2
174|i|EADOI|6
175|n|NEIAC|2
176| |GTEKN|3
177|t|TBOAI|2
178|h|EIAOR|10
179|e|EOIAR|2
180| |RSNOA|3
181|l|TBOAI|13
182|a|EIALO|4
183|s|NTSRC|4
184|t|STHEM|3
185| |IEOSY|3
186|y|TBOAI|9
187|e|SANLE|6
188|a|RLSDN|5
189|r|RTSHL|2
190|.|SNLBE|4
191| |SNLBE|3
192|I|TBOAI|6
193|n|NSCTL|2
194| |GETAD|3
195|t|TBOAI|2
196|h|EIAOR|10
197|e|EOIAR|2
198| |RSNOA|3
199|s|TBOAI|6
200|p|TEISH|13
201|r|EOAIR|6
202|i|IEOAU|2
203|n|NTGCV|2
204|g|GTKCE|2
205| |SEBFH|3
206|o|TBOAI|4
207|f|NRLMS|8
208| |FTIEO|3
209|2|TBOAI|8
210|0|TBOAI|16
211|0|TBOAI|16
212|4|TBOAI|10
213|,|TBOAI|5
214| |TBOAI|3
215|I|TBOAI|6
216| |NSCTL|3
217|w|TBOAI|5
218|a|AEIWO|2
219|s|RLTYN|6
220| |HTSAK|3
221|t|TBOAI|2
222|r|EIAOR|6
223|a|AIOEU|2
224|i|NCTDV|11
225|n|NLTGD|2
226|i|EITSD|3
227|n|NGEAS|2
228|g|GEFNS|2
229| |SHLEC|3
230|f|TBOAI|8
231|o|IOEAR|3
232|r|RLNOU|2
233| |MDETC|3
234|m|TBOAI|12
235|y|AEIOP|9
236| |SCOTL|3
237|f|TBOAI|8
238|o|IOEAR|3
239|u|RLNOU|6
240|r|RNLCS|2
241|t|NTSCP|3
242|h|HERYI|2
243| |SLOIE|3
244|m|TBOAI|12
245|a|AEIOP|2
246|r|NRTSL|3
247|a|KTICA|6
248|t|NTSDC|3
249|h|HETAU|2
250|o|OAIEY|2
251|n|NRDLE|2
252|.|ESGYI|4
253| |ESGYI|3
254|I|TBOAI|6
255| |NSCTL|3
256|n|TBOAI|11
257|o|EGTAD|12
258|t|RNTSM|4
259|i|EIATH|3
260|c|FCZNS|3
261|e|EIASK|2
262|d|ASDBL|4
263| |EIOUW|3
264|t|TBOAI|2
265|h|EIAOR|10
266|a|EOIAR|5
267|t|NLMRT|6
268| |CSATL|3
269|m|TBOAI|12
270|y|AEIOP|9
271| |SCOTL|3
272|s|TBOAI|6
273|p|TEISH|13
274|e|EOAIR|2
275|e|CRELN|4
276|c|DCLRX|3
277|h|HEOAR|2
278| |WELGD|3
279|w|TBOAI|5
280|a|AEIWO|2
281|s|RLTYN|6
282| |HTSAK|3
283|g|TBOAI|9
284|e|EAIRO|2
285|t|NRSTL|5
286|t|TSIAC|2
287|i|EIYOA|3
288|n|NMTCG|2
289|g|GEIAO|2
290| |SETAO|3
291|g|TBOAI|9
292|a|EAIRO|3
293|r|RNLTM|2
294|b|DIATR|10
295|l|EAULI|5
296|e|EOIVU|2
297|d|DSRHI|2
298| |OAIDE|3
299|w|TBOAI|5
300|h|AEIWO|10
301|e|IEAOU|3
302|n|ERALN|6
303| |UTSEC|3
304|I|TBOAI|6
305| |NSCTL|3
306|w|TBOAI|5
307|a|AEIWO|2
308|s|RLTYN|6
309| |HTSAK|3
310|r|TBOAI|7
311|u|EAIOS|10
312|n|SMNCP|4
313|n|NGDEC|2
314|i|EIYAN|3
315|n|NOGEL|2
316|g|GLEIA|2
317|.|SHLTD|4
318| |SHLTD|3
319|T|TBOAI|2
320|h|EIAOR|10
321|i|EOIAR|4
322|s|NECAS|6
323| |TEICP|3
324|w|TBOAI|5
325|a|AEIWO|2
326|s|RLTYN|6
327| |HTSAK|3
328|a|TBOAI|5
329| |NRLTS|3
330|b|TBOAI|3
331|i|EAOLI|6
332|t|LNOTR|5
333| |AESIT|3
334|o|TBOAI|4
335|f|NRLMS|8
336| |FTIEO|3
337|a|TBOAI|5
338| |NRLTS|3
339|c|TBOAI|8
340|u|OHAEK|10
341|r|LRMST|3
342|i|RIESA|3
343|o|TONAS|3
344|s|USNLO|3
345|i|IAOUT|2
346|t|TDSLR|2
347|y|YIEOA|2
348| |SOCIP|3
349|t|TBOAI|2
350|o|EIAOR|5
351| |RNPMS|3
352|m|TBOAI|12
353|e|AEIOP|3
354|,|NRTSD|5
355| |NRTSD|3
356|n|TBOAI|11
357|o|EGTAD|12
358|t|RNTSM|4
359|h|EIATH|6
360|i|EIOUA|3
361|n|NAGCL|2
362|g|GKENS|2
363| |NSFBL|3
364|m|TBOAI|12
365|o|AEIOP|5
366|r|NRDTU|3
367|e|EPTAI|2
368|,|SLTND|5
369| |SLTND|3
370|r|TBOAI|7
371|e|EAIOS|2
372|a|SANED|3
373|l|MDTLK|5
374|l|ITELM|5
375|y|OYILU|3
376|.|NBGRS|4
377| |NBGRS|3
378|B|TBOAI|3
379|u|EAOLI|10
380|t|RSTLN|4
381| |TEIAO|3
382|b|TBOAI|3
383|y|EAOLI|9
384| |TSLEN|3
385|t|TBOAI|2
386|h|EIAOR|10
387|e|EOIAR|2
388| |RSNOA|3
389|s|TBOAI|6
390|u|TEISH|10
391|m|BPRNM|6
392|m|MEIAP|2
393|e|EAIOU|2
394|r|RDYLT|2
395|,|SHCTL|5
396| |SHCTL|3
397|i|TBOAI|6
398|t|NSCTL|5
399| |EIAYT|3
400|w|TBOAI|5
401|a|AEIWO|2
402|s|RLTYN|6
403| |HTSAK|3
404|q|TBOAI|4
405|u|ULAIS|2
406|i|EIAOR|3
407|t|NSCRT|6
408|e|AOEYT|4
409| |CRDXS|3
410|p|TBOAI|13
411|r|EAORI|5
412|o|OEIAU|2
413|n|PTCDV|11
414|o|OEGIA|2
415|u|USGMT|2
416|n|NSRGT|2
417|c|CSOGD|2
418|e|EIMYH|2
419|d|MDASR|3
420|,|EAITS|5
421| |EAITS|3
422|a|TBOAI|5
423|n|NRLTS|2
424|d|DTSGA|2
425| |EAISR|3
426|I|TBOAI|6
427| |NSCTL|3
428|b|TBOAI|3
429|e|EAOLI|2
430|g|RLNAS|9
431|a|IGROA|6
432|n|NTLYW|2
433| |NTGSO|3
434|h|TBOAI|10
435|a|AEOIU|2
436|v|RNMLT|9
437|i|EIAON|3
438|n|ONLSR|3
439|g|GEADS|2
440| |STEDL|3
441|d|TBOAI|7
442|i|EIAOR|3
443|f|SNACT|8
444|f|FIYEO|2
445|i|EUIRM|4
446|c|CDENT|2
447|u|UISEA|2
448|l|LSMRT|2
449|t|TAOUE|2
450|y|YILUA|2
451| |SPTEL|3
452|s|TBOAI|6
453|w|TEISH|5
454|a|IAEOR|3
455|l|NRLTP|4
456|l|LDEKT|2
457|o|OAPEI|2
458|w|WPNOA|2
459|i|IETSF|2
460|n|NSCKE|2
461|g|GTSDI|2
462|.|CSLON|4
463| |CSLON|3
464|T|TBOAI|2
465|h|EIAOR|10
466|a|EOIAR|5
467|t|NLMRT|6
468| |CSATL|3
469|c|TBOAI|8
470|o|OHAEK|2
471|m|MNRLU|2
472|b|PMBEI|4
473|i|REIAU|4
474|n|NVESC|2
475|a|AEIGO|2
476|t|TNSBI|2
477|i|OIEAR|3
478|o|OENVC|2
479|n|NSUTR|2
480| |ASKCF|3
481|o|TBOAI|4
482|f|NRLMS|8
483| |FTIEO|3
484|s|TBOAI|6
485|p|TEISH|13
486|e|EOAIR|2
487|e|CRELN|4
488|c|DCLRX|3
489|h|HEOAR|2
490| |WELGD|3
491|a|TBOAI|5
492|n|NRLTS|2
493|d|DTSGA|2
494| |EAISR|3
495|s|TBOAI|6
496|w|TEISH|5
497|a|IAEOR|3
498|l|NRLTP|4
499|l|LDEKT|2
500|o|OAPEI|2
501|w|WPNOA|2
502|i|IETSF|2
503|n|NSCKE|2
504|g|GTSDI|2
505| |CSLON|3
506|i|TBOAI|6
507|s|NSCTL|3
508|s|TEHSC|5
509|u|EIAOU|6
510|e|EARSI|2
511|s|SDRIT|2
512| |LSTCD|3
513|g|TBOAI|9
514|o|EAIRO|6
515|t|OLNRT|6
516| |TIHOE|3
517|m|TBOAI|12
518|y|AEIOP|9
519| |SCOTL|3
520|d|TBOAI|7
521|o|EIAOR|5
522|c|NRWMC|6
523|t|UKTSH|4
524|o|OREYI|2
525|r|ROPNB|2
526| |ASOJE|3
527|c|TBOAI|8
528|o|OHAEK|2
529|n|MNRLU|3
530|c|TSFCD|5
531|e|EIOUA|2
532|r|PRNIS|3
533|n|TNISE|3
534|e|ESIAO|2
535|d|DTRYS|2
536|,|OIEAD|5
537| |OIEAD|3
538|a|TBOAI|5
539|n|NRLTS|2
540|d|DTSGA|2
541| |EAISR|3
542|I|TBOAI|6
543| |NSCTL|3
544|b|TBOAI|3
545|e|EAOLI|2
546|g|RLNAS|9
547|a|IGROA|6
548|n|NTLYW|2
549| |NTGSO|3
550|t|TBOAI|2
551|o|EIAOR|5
552| |RNPMS|3
553|s|TBOAI|6
554|e|TEISH|3
555|e|RNSLT|6
556| |KDRMS|3
557|a|TBOAI|5
558| |NRLTS|3
559|n|TBOAI|11
560|e|EGTAD|2
561|u|SRTWD|10
562|r|RMTSV|2
563|o|OIASY|2
564|l|PTSLN|5
565|o|OEIAU|2
566|g|GNLDC|2
567|i|IYUEO|2
568|s|CSEAO|3
569|t|TECMI|2
570|.|SIAOE|4
571| |SIAOE|3
572|A|TBOAI|5
573|f|NRLTS|8
574|t|FTEIR|3
575|e|ESAIO|2
576|r|RNDES|2
577| |STNWB|3
578|e|TBOAI|6
579|x|RNSLD|7
580|h|TPCIA|10
581|a|IAOUE|3
582|u|ULMNX|2
583|s|SNLTD|2
584|t|TESFC|2
585|i|IESRA|2
586|n|VBONC|5
587|g|GIATO|2
588| |LSTUC|3
589|a|TBOAI|5
590|l|NRLTS|4
591|l|LIEAT|2
592| |YEIOA|3
593|t|TBOAI|2
594|h|EIAOR|10
595|e|EOIAR|2
596| |RSNOA|3
597|o|TBOAI|4
598|t|NRLMS|8
599|h|EOTHI|5
600|e|EIAOS|2
601|r|RSLKN|2
602| |ASMLW|3
603|p|TBOAI|13
604|o|EAORI|4
605|s|RLSNT|4
606|s|TIESA|5
607|i|IEUOA|2
608|b|BTLOA|2
609|i|LIEAS|3
610|l|LRUAS|2
611|i|IETYA|2
612|t|TDSAZ|2
613|i|YIEAO|3
614|e|EATCS|2
615|s|SKRDL|2
616|,|LUCND|5
617| |LUCND|3
618|h|TBOAI|10
619|e|AEOIU|3
620| |RANLS|3
621|d|TBOAI|7
622|i|EIAOR|3
623|a|SNACT|4
624|g|NLTBM|9
625|n|NOREL|2
626|o|OEAIU|2
627|s|SCLNR|2
628|e|TEIAC|3
629|d|DSCBA|2
630| |ILANF|3
631|m|TBOAI|12
632|y|AEIOP|9
633| |SCOTL|3
634|i|TBOAI|6
635|l|NSCTL|6
636|l|LIEAD|2
637|n|EIAOS|11
638|e|EOACU|2
639|s|STRWY|2
640|s|SDTIE|2
641| |EDGWA|3
642|a|TBOAI|5
643|s|NRLTS|6
644| |TSEHI|3
645|A|TBOAI|5
646|L|NRLTS|4
647|S|LIEAT|6
648|,|TEAIO|5
649| |TEAIO|3
650|a|TBOAI|5
651|m|NRLTS|12
652|y|EAIPB|9
653|o|LCDAS|12
654|t|TSCPG|2
655|r|ROITU|2
656|o|OAIEY|2
657|p|PNDSL|2
658|h|HIYEO|2
659|i|ISEYO|2
660|c|CNELS|2
661| |UASEK|3
662|l|TBOAI|13
663|a|EIALO|4
664|t|NTSRC|3
665|e|EIOTA|2
666|r|DSRNL|4
667|a|ASRIO|2
668|l|LNSID|2
669| |ILSUD|3
670|s|TBOAI|6
671|c|TEISH|8
672|l|HOARI|13
673|e|EAOIU|2
674|r|RPMST|2
675|o|OAEKC|2
676|s|TSDPO|3
677|i|IETAO|2
678|s|SNTOV|2
679|,|EOTSC|5
680| |EOTSC|3
681|o|TBOAI|4
682|r|NRLMS|3
683| |TEIDA|3
684|L|TBOAI|13
685|o|EIALO|6
686|u|GNRWC|10
687| |SDRGT|3
688|G|TBOAI|9
689|e|EAIRO|2
690|h|NRSTL|10
691|r|AEROT|4
692|i|IYKEM|2
693|g|GNCSF|2
694|s|SHLIA|2
695| |BTOIH|3
696|d|TBOAI|7
697|i|EIAOR|3
698|s|SNACT|2
699|e|CTPAS|6
700|a|NMDSA|6
701|s|SURCN|2
702|e|EOIHC|2
703|.|SDMRL|4
704| |SDMRL|3
705|A|TBOAI|5
706|L|NRLTS|4
707|S|LIEAT|6
708| |TEAIO|3
709|i|TBOAI|6
710|s|NSCTL|3
711| |TEHSC|3
712|a|TBOAI|5
713| |NRLTS|3
714|d|TBOAI|7
715|e|EIAOR|2
716|g|RNSLC|9
717|e|RAEUL|4
718|n|NOATM|2
719|e|EHNDT|2
720|r|RTSAO|2
721|a|AEOIS|2
722|t|TCLDS|2
723|i|IEOUA|2
724|v|OVNCT|3
725|e|EAIOU|2
726| |LSNPM|3
727|d|TBOAI|7
728|i|EIAOR|3
729|s|SNACT|2
730|e|CTPAS|6
731|a|NMDSA|6
732|s|SURCN|2
733|e|EOIHC|2
734| |SDMRL|3
735|i|TBOAI|6
736|n|NSCTL|2
737| |GETAD|3
738|w|TBOAI|5
739|h|AEIWO|10
740|i|IEAOU|2
741|c|TSPRN|8
742|h|HKASO|2
743| |EIFTA|3
744|t|TBOAI|2
745|h|EIAOR|10
746|e|EOIAR|2
747| |RSNOA|3
748|m|TBOAI|12
749|o|AEIOP|5
750|t|NRDTU|5
751|o|OIHET|2
752|r|RCNGP|2
753| |CSIBE|3
754|n|TBOAI|11
755|e|EGTAD|2
756|u|SRTWD|10
757|r|RMTSV|2
758|o|OIASY|2
759|n|PTSLN|6
760|s|SEATO|2
761| |TKOAW|3
762|f|TBOAI|8
763|a|IOEAR|5
764|i|CRNLS|11
765|l|RTLNS|4
766|.|LIESU|4
767| |LIESU|3
768|T|TBOAI|2
769|h|EIAOR|10
770|e|EOIAR|2
771| |RSNOA|3
772|u|TBOAI|10
773|p|RNSTL|13
774|p|EPSTA|3
775|e|ELORI|2
776|r|RTNDL|2
777| |CSTMW|3
778|m|TBOAI|12
779|o|AEIOP|5
780|t|NRDTU|5
781|o|OIHET|2
782|r|RCNGP|2
783| |CSIBE|3
784|n|TBOAI|11
785|e|EGTAD|2
786|u|SRTWD|10
787|r|RMTSV|2
788|o|OIASY|2
789|n|PTSLN|6
790|s|SEATO|2
791| |TKOAW|3
792|c|TBOAI|8
793|a|OHAEK|4
794|r|LRTNS|3
795|r|DETRB|5
796|y|IEOAY|6
797| |OFIBA|3
798|i|TBOAI|6
799|m|NSCTL|12
800|p|EAPIM|4
801|u|LEROA|10
802|l|TLRGD|3
803|s|SEAIL|2
804|e|IEOAU|3
805|s|SRDLN|2
806| |DSTHI|3
807|f|TBOAI|8
808|r|IOEAR|6
809|o|EAIOU|5
810|m|NGMST|4
811| |ATMBE|3
812|t|TBOAI|2
813|h|EIAOR|10
814|e|EOIAR|2
815| |RSNOA|3
816|b|TBOAI|3
817|r|EAOLI|7
818|a|AIOEU|2
819|i|NITSC|3
820|n|NDLCS|2
821| |SECWT|3
822|t|TBOAI|2
823|o|EIAOR|5
824| |RNPMS|3
825|t|TBOAI|2
826|h|EIAOR|10
827|e|EOIAR|2
828| |RSNOA|3
829|s|TBOAI|6
830|p|TEISH|13
831|i|EOAIR|5
832|n|RNETC|3
833|a|OEADN|4
834|l|LCTSR|2
835| |LISED|3
836|c|TBOAI|8
837|o|OHAEK|2
838|r|MNRLU|4
839|d|EDRNP|3
840|,|IEASO|5
841| |IEASO|3
842|a|TBOAI|5
843|n|NRLTS|2
844|d|DTSGA|2
845| |EAISR|3
846|t|TBOAI|2
847|h|EIAOR|10
848|e|EOIAR|2
849| |RSNOA|3
850|l|TBOAI|13
851|o|EIALO|6
852|w|GNRWC|5
853|e|ESJIA|2
854|r|RDSEN|2
855| |SBEIC|3
856|m|TBOAI|12
857|o|AEIOP|5
858|t|NRDTU|5
859|o|OIHET|2
860|r|RCNGP|2
861| |CSIBE|3
862|n|TBOAI|11
863|e|EGTAD|2
864|u|SRTWD|10
865|r|RMTSV|2
866|o|OIASY|2
867|n|PTSLN|6
868|s|SEATO|2
869| |TKOAW|3
870|c|TBOAI|8
871|a|OHAEK|4
872|r|LRTNS|3
873|r|DETRB|5
874|y|IEOAY|6
875| |OFIBA|3
876|i|TBOAI|6
877|m|NSCTL|12
878|p|EAPIM|4
879|u|LEROA|10
880|l|TLRGD|3
881|s|SEAIL|2
882|e|IEOAU|3
883|s|SRDLN|2
884| |DSTHI|3
885|f|TBOAI|8
886|r|IOEAR|6
887|o|EAIOU|5
888|m|NGMST|4
889| |ATMBE|3
890|t|TBOAI|2
891|h|EIAOR|10
892|e|EOIAR|2
893| |RSNOA|3
894|s|TBOAI|6
895|p|TEISH|13
896|i|EOAIR|5
897|n|RNETC|3
898|a|OEADN|4
899|l|LCTSR|2
900| |LISED|3
901|c|TBOAI|8
902|o|OHAEK|2
903|r|MNRLU|4
904|d|EDRNP|3
905| |IEASO|3
906|t|TBOAI|2
907|o|EIAOR|5
908| |RNPMS|3
909|t|TBOAI|2
910|h|EIAOR|10
911|e|EOIAR|2
912| |RSNOA|3
913|v|TBOAI|9
914|o|EIAOS|5
915|l|LRINC|2
916|u|UVTAK|2
917|n|TNMPC|3
918|t|TAGED|2
919|a|AEOLS|2
920|r|RDIBN|2
921|y|IYARE|3
922| |XLNSW|3
923|m|TBOAI|12
924|u|AEIOP|10
925|s|LSNRT|3
926|c|ICETS|3
927|l|ULHOA|3
928|e|EIAOU|2
929|s|MSTDC|3
930|.|IFTAP|4
931| |IFTAP|3
932|I|TBOAI|6
933|n|NSCTL|2
934| |GETAD|3
935|m|TBOAI|12
936|o|AEIOP|5
937|s|NRDTU|6
938|t|TEASI|2
939| |ARELO|3
940|c|TBOAI|8
941|a|OHAEK|4
942|s|LRTNS|6
943|e|TESIH|3
944|s|SMILR|2
945|,|ETMIC|5
946| |ETMIC|3
947|t|TBOAI|2
948|h|EIAOR|10
949|e|EOIAR|2
950| |RSNOA|3
951|m|TBOAI|12
952|o|AEIOP|5
953|t|NRDTU|5
954|o|OIHET|2
955|r|RCNGP|2
956| |CSIBE|3
957|n|TBOAI|11
958|e|EGTAD|2
959|u|SRTWD|10
960|r|RMTSV|2
961|o|OIASY|2
962|n|PTSLN|6
963|s|SEATO|2
964| |TKOAW|3
965|a|TBOAI|5
966|f|NRLTS|8
967|f|FTEIR|2
968|e|IEOAL|3
969|c|RCYIL|3
970|t|TIHSA|2
971|i|IEASU|2
972|n|OVNFB|4
973|g|GSPOA|2
974| |GTSLE|3
975|l|TBOAI|13
976|i|EIALO|3
977|m|NSTCA|12
978|b|EAIBP|5
979| |EAUIS|3
980|m|TBOAI|12
981|u|AEIOP|10
982|s|LSNRT|3
983|c|ICETS|3
984|l|ULHOA|3
985|e|EIAOU|2
986|s|MSTDC|3
987| |IFTAP|3
988|a|TBOAI|5
989|r|NRLTS|3
990|e|TDIAE|6
991| |NSDTL|3
992|t|TBOAI|2
993|h|EIAOR|10
994|e|EOIAR|2
995| |RSNOA|3
996|f|TBOAI|8
997|i|IOEAR|2
998|r|NELCR|6
999|s|ESMID|3
1000|t|TCHIA|2
1001| |SCUPL|3
1002|t|TBOAI|2
1003|o|EIAOR|5
1004| |RNPMS|3
1005|g|TBOAI|9
1006|o|EAIRO|6
1007|,|OLNRT|5
1008| |OLNRT|3
1009|r|TBOAI|7
1010|e|EAIOS|2
1011|s|SANED|2
1012|u|STEIP|10
1013|l|LMRPS|2
1014|t|TEFAI|2
1015|i|ASIEO|4
1016|n|NEOPC|2
1017|g|GAOEU|2
1018| |LSFTE|3
1019|i|TBOAI|6
1020|n|NSCTL|2
1021| |GETAD|3
1022|w|TBOAI|5
1023|e|AEIWO|3
1024|a|RBLSI|5
1025|k|RTKVS|4
1026|n|ELNUS|4
1027|e|EOIAU|2
1028|s|SCKER|2
1029|s|STIEC|2
1030|,|EWAIU|5
1031| |EWAIU|3
1032|a|TBOAI|5
1033|t|NRLTS|5
1034|r|IEOHA|7
1035|o|IOAEU|3
1036|p|NLPOS|4
1037|h|IHOEU|3
1038|y|IYAOE|3
1039| |SCTLA|3
1040|a|TBOAI|5
1041|n|NRLTS|2
1042|d|DTSGA|2
1043| |EAISR|3
1044|p|TBOAI|13
1045|a|EAORI|3
1046|r|RNTCL|2
1047|a|ATEKI|2
1048|l|MTLDS|4
1049|y|LYOEI|3
1050|s|SZMTN|2
1051|i|EITSH|3
1052|s|SNAML|2
1053| |CETSK|3
1054|o|TBOAI|4
1055|f|NRLMS|8
1056| |FTIEO|3
1057|t|TBOAI|2
1058|h|EIAOR|10
1059|e|EOIAR|2
1060| |RSNOA|3
1061|a|TBOAI|5
1062|r|NRLTS|3
1063|m|TDIAE|12
1064|s|AOEIS|6
1065| |TEWMC|3
1066|a|TBOAI|5
1067|n|NRLTS|2
1068|d|DTSGA|2
1069| |EAISR|3
1070|l|TBOAI|13
1071|e|EIALO|2
1072|g|SRNTY|9
1073|s|AEIRG|6
1074|.|COMAU|4
1075| |COMAU|3
1076|E|TBOAI|6
1077|v|RNSLD|9
1078|e|EIAOR|2
1079|n|RNLSD|3
1080|t|TSIGU|2
1081|u|SIUEO|4
1082|a|ARMES|2
1083|l|LTNRA|2
1084|l|ILYSE|3
1085|y|YIESO|2
1086| |SCNMG|3
1087|t|TBOAI|2
1088|h|EIAOR|10
1089|e|EOIAR|2
1090| |RSNOA|3
1091|m|TBOAI|12
1092|u|AEIOP|10
1093|s|LSNRT|3
1094|c|ICETS|3
1095|l|ULHOA|3
1096|e|EIAOU|2
1097|s|MSTDC|3
1098| |IFTAP|3
1099|i|TBOAI|6
1100|n|NSCTL|2
1101|v|GETAD|9
1102|o|EIAOU|5
1103|l|LKICV|2
1104|v|VUEAI|2
1105|i|EIMUO|3
1106|n|NMKCL|2
1107|g|GAIOS|2
1108| |TRSLE|3
1109|s|TBOAI|6
1110|p|TEISH|13
1111|e|EOAIR|2
1112|e|CRELN|4
1113|c|DCLRX|3
1114|h|HEOAR|2
1115|,|WELGD|5
1116| |WELGD|3
1117|s|TBOAI|6
1118|w|TEISH|5
1119|a|IAEOR|3
1120|l|NRLTP|4
1121|l|LDEKT|2
1122|o|OAPEI|2
1123|w|WPNOA|2
1124|i|IETSF|2
1125|n|NSCKE|2
1126|g|GTSDI|2
1127| |CSLON|3
1128|a|TBOAI|5
1129|n|NRLTS|2
1130|d|DTSGA|2
1131| |EAISR|3
1132|r|TBOAI|7
1133|e|EAIOS|2
1134|s|SANED|2
1135|p|STEIP|6
1136|i|OEIAU|4
1137|r|RGNTS|2
1138|a|AOEIT|2
1139|t|TBLNC|2
1140|i|OIEAN|3
1141|o|ONCKV|2
1142|n|NSTFR|2
1143| |SAEIP|3
1144|f|TBOAI|8
1145|o|IOEAR|3
1146|l|RLNOU|3
1147|l|DIKLG|5
1148|o|OIEAW|2
1149|w|WENQC|2
1150|,|EIUSM|5
1151| |EIUSM|3
1152|a|TBOAI|5
1153|n|NRLTS|2
1154|d|DTSGA|2
1155| |EAISR|3
1156|d|TBOAI|7
1157|e|EIAOR|2
1158|a|RNSLC|5
1159|t|LDNTR|5
1160|h|HIESO|2
1161| |SLBWC|3
1162|r|TBOAI|7
1163|e|EAIOS|2
1164|s|SANED|2
1165|u|STEIP|10
1166|l|LMRPS|2
1167|t|TEFAI|2
1168|s|ASIEO|3
1169| |EIMRP|3
1170|f|TBOAI|8
1171|r|IOEAR|6
1172|o|EAIOU|5
1173|m|NGMST|4
1174| |ATMBE|3
1175|r|TBOAI|7
1176|e|EAIOS|2
1177|s|SANED|2
1178|p|STEIP|6
1179|i|OEIAU|4
1180|r|RGNTS|2
1181|a|AOEIT|2
1182|t|TBLNC|2
1183|o|OIEAN|2
